round,level,mons,gap,ai_tier,trial,result,turns,frames,player_species,enemy_species,ace_moves
2,18,1,-2,0,0,loss,11,5062,CHARMELEON:16 ODDISH:8 GOLDEEN:8,KOFFING,10 45 52 43
2,18,1,-2,0,1,win,7,2210,WARTORTLE:16 JIGGLYPUFF:8 SEEL:8,KOFFING,39 145 55 44
2,18,1,-2,0,2,win,4,1650,WARTORTLE:16 ZUBAT:8 BELLSPROUT:8,BELLSPROUT,39 145 55 44
2,18,1,2,0,0,win,1,870,IVYSAUR:20 RATTATA:12 GRIMER:12,BUTTERFREE,45 73 22 51
2,18,1,2,0,1,win,5,2496,WARTORTLE:20 PSYDUCK:12 BUTTERFREE:12,MAGNEMITE,39 145 55 44
2,18,1,2,0,2,win,3,1600,WARTORTLE:20 MANKEY:12 SANDSHREW:12,MANKEY,39 145 55 44
2,18,1,6,0,0,win,3,1650,CHARMELEON:24 JIGGLYPUFF:16 PSYDUCK:16,GOLDEEN,43 99 7 44
2,18,1,6,0,1,win,3,1790,IVYSAUR:24 HORSEA:16 SANDSHREW:16,DITTO,73 22 51 77
2,18,1,6,0,2,win,6,3200,IVYSAUR:24 GOLDEEN:16 BEEDRILL:16,KABUTO,73 22 51 77
2,18,1,12,0,0,win,1,350,WARTORTLE:30 POLIWHIRL:22 PARAS:22,BELLSPROUT,55 44 61 34
2,18,1,12,0,1,win,3,1380,CHARMELEON:30 MAGNEMITE:22 HORSEA:22,SEEL,43 99 7 44
2,18,1,12,0,2,win,1,350,WARTORTLE:30 PARAS:22 GOLDEEN:22,ZUBAT,55 44 61 34
2,18,3,-2,0,0,loss,18,9484,CHARMELEON:16 BELLSPROUT:8 DITTO:8,POLIWAG SEEL PORYGON,10 45 52 43
2,18,3,-2,0,1,loss,17,7018,WARTORTLE:16 KRABBY:8 SANDSHREW:8,POLIWAG SEEL SLOWPOKE,39 145 55 44
2,18,3,-2,0,2,loss,19,9808,WARTORTLE:16 KAKUNA:8 KABUTO:8,GOLDEEN ODDISH SLOWPOKE,39 145 55 44
2,18,3,2,0,0,win,18,8342,WARTORTLE:20 HORSEA:12 GROWLITHE:12,VOLTORB BUTTERFREE MAGIKARP,39 145 55 44
2,18,3,2,0,1,win,10,5422,CHARMELEON:20 JIGGLYPUFF:12 EKANS:12,POLIWAG GOLDEEN TENTACOOL,52 43 99 7
2,18,3,2,0,2,win,7,4292,CHARMELEON:20 HORSEA:12 SANDSHREW:12,PIDGEY GOLDEEN MAGIKARP,52 43 99 7
2,18,3,6,0,0,win,5,2962,WARTORTLE:24 MANKEY:16 KRABBY:16,RATTATA GROWLITHE SQUIRTLE,145 55 44 61
2,18,3,6,0,1,timeout,4,39993,CHARMELEON:24 KRABBY:16 MAGNEMITE:16,EKANS JIGGLYPUFF MAGIKARP,43 99 7 44
2,18,3,6,0,2,win,8,4432,WARTORTLE:24 KABUTO:16 RATTATA:16,BUTTERFREE SEEL DIGLETT,145 55 44 61
2,18,3,12,0,0,win,9,3532,WARTORTLE:30 RATICATE:22 KRABBY:22,PSYDUCK ZUBAT ONIX,55 44 61 34
2,18,3,12,0,1,win,3,2062,CHARMELEON:30 BUTTERFREE:22 SEEL:22,FARFETCHD PSYDUCK MAGIKARP,43 99 7 44
2,18,3,12,0,2,win,3,2612,IVYSAUR:30 HORSEA:22 MANKEY:22,JIGGLYPUFF MANKEY CLEFAIRY,51 77 79 75
2,18,6,-2,0,0,loss,13,7918,IVYSAUR:16 JIGGLYPUFF:8 VOLTORB:8,BEEDRILL FARFETCHD CHARMANDER PIDGEY CUBONE NIDORAN_M,45 73 22 51
2,18,6,-2,0,1,loss,54,25874,WARTORTLE:16 ODDISH:8 KRABBY:8,FARFETCHD POLIWAG PONYTA ODDISH EKANS CLEFAIRY,39 145 55 44
